Product_Name,Brand,Current_Price,Original_Price,Discount(%),Rating,Ratings count,Reviews Count,Platform,Category,Product_URL,Scrape_Date,Storage
"Poco C71 (Desert Gold, 128 Gb)",Poco,6999,9999,0.3,4.1,12108,626,Flipkart,mobiles,https://www.flipkart.com/poco-c71-desert-gold-128-gb/p/itm2a2ad903f91f4?pid=MOBHAFVJ8WXHR5FT&lid=LSTMOBHAFVJ8WXHR5FTKIOCQ2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_21&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBHAFVJ8WXHR5FT.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,128
"Motorola Edge 60 Fusion 5G (Pantone Slipstream, 256 Gb)",Motorola,22999,25999,0.11,4.5,48575,2677,Flipkart,mobiles,https://www.flipkart.com/motorola-edge-60-fusion-5g-pantone-slipstream-256-gb/p/itm8553dc1ee56ee?pid=MOBH9ARFZHXSRYMA&lid=LSTMOBH9ARFZHXSRYMAF5I7OY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_22&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBH9ARFZHXSRYMA.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,256
"Vivo T4 Lite 5G Charger In The Box (Prism Blue, 128 Gb)",Vivo,9999,13999,0.28,4.4,11706,352,Flipkart,mobiles,https://www.flipkart.com/vivo-t4-lite-5g-charger-box-prism-blue-128-gb/p/itm9886d6e522c4b?pid=MOBHDY9FCZV9HPM9&lid=LSTMOBHDY9FCZV9HPM9WHT3DR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_23&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBHDY9FCZV9HPM9.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,128
"Poco C71 (Power Black, 128 Gb)",Poco,6999,9999,0.3,4.1,12108,626,Flipkart,mobiles,https://www.flipkart.com/poco-c71-power-black-128-gb/p/itm8096ee52d7013?pid=MOBHAFVJJM8BWNKC&lid=LSTMOBHAFVJJM8BWNKCJY0MRA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_24&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBHAFVJJM8BWNKC.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,128
"Samsung Galaxy F05 (Twilight Blue, 64 Gb)",Samsung,6499,9999,0.35,4.2,64333,3625,Flipkart,mobiles,https://www.flipkart.com/samsung-galaxy-f05-twilight-blue-64-gb/p/itm84a914081ab93?pid=MOBH4GTXZ9ZRQ3SU&lid=LSTMOBH4GTXZ9ZRQ3SUXCBGGE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_25&otracker=search&fm=organic&iid=abf90267-d3d7-4fc5-8592-1a0a1ab6f784.MOBH4GTXZ9ZRQ3SU.SEARCH&ppt=sp&ppn=sp&ssid=qcad5wpssg0000001756305265452&qH=eb4af0bf07c16429,27-08-2025,64
"Vivo T4 Lite 5G Charger In The Box (Prism Blue, 256 Gb)",Vivo,12999,16999,0.23,4.3,4898,212,Flipkart,mobiles,https://www.flipkart.com/vivo-t4-lite-5g-charger-box-prism-blue-256-gb/p/itm9886d6e522c4b?pid=MOBHDY9FPSBK8D4E&lid=LSTMOBHDY9FPSBK8D4EG11UHE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_26&otracker=search&fm=organic&iid=abf90267-d3d7-4fc5-8592-1a0a1ab6f784.MOBHDY9FPSBK8D4E.SEARCH&ppt=sp&ppn=sp&ssid=qcad5wpssg0000001756305265452&qH=eb4af0bf07c16429,27-08-2025,256
"Poco C75 5G (Aqua Bliss, 64 Gb)",Poco,7699,10999,0.3,4.3,93979,4443,Flipkart,mobiles,https://www.flipkart.com/poco-c75-5g-aqua-bliss-64-gb/p/itm10b3f6f1bc616?pid=MOBH7443MMBCWPPG&lid=LSTMOBH7443MMBCWPPGVOR2LC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_27&otracker=search&fm=organic&iid=abf90267-d3d7-4fc5-8592-1a0a1ab6f784.MOBH7443MMBCWPPG.SEARCH&ppt=sp&ppn=sp&ssid=qcad5wpssg0000001756305265452&qH=eb4af0bf07c16429,27-08-2025,64
"Poco C75 5G (Enchanted Green, 64 Gb)",Poco,7699,10999,0.3,4.3,93979,4443,Flipkart,mobiles,https://www.flipkart.com/poco-c75-5g-enchanted-green-64-gb/p/itmf8fdd88f80fcc?pid=MOBH7443VEGWXG4G&lid=LSTMOBH7443VEGWXG4GOW118G&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_28&otracker=search&fm=organic&iid=abf90267-d3d7-4fc5-8592-1a0a1ab6f784.MOBH7443VEGWXG4G.SEARCH&ppt=sp&ppn=sp&ssid=qcad5wpssg0000001756305265452&qH=eb4af0bf07c16429,27-08-2025,64
"Vivo T4X 5G (Pronto Purple, 256 Gb)",Vivo,16999,20999,0.19,4.5,78468,4155,Flipkart,mobiles,https://www.flipkart.com/vivo-t4x-5g-pronto-purple-256-gb/p/itm017656bdd097b?pid=MOBH9JUS4GGGPJHJ&lid=LSTMOBH9JUS4GGGPJHJMC4C45&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_29&otracker=search&fm=organic&iid=abf90267-d3d7-4fc5-8592-1a0a1ab6f784.MOBH9JUS4GGGPJHJ.SEARCH&ppt=sp&ppn=sp&ssid=qcad5wpssg0000001756305265452&qH=eb4af0bf07c16429,27-08-2025,256
"Vivo T4X 5G (Pronto Purple, 128 Gb)",Vivo,13999,17999,0.22,4.4,100730,5079,Flipkart,mobiles,https://www.flipkart.com/vivo-t4x-5g-pronto-purple-128-gb/p/itm017656bdd097b?pid=MOBH9JUSZFBNVDXM&lid=LSTMOBH9JUSZFBNVDXMQY4SVC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_2_30&otracker=search&fm=organic&iid=abf90267-d3d7-4fc5-8592-1a0a1ab6f784.MOBH9JUSZFBNVDXM.SEARCH&ppt=sp&ppn=sp&ssid=qcad5wpssg0000001756305265452&qH=eb4af0bf07c16429,27-08-2025,128
"Samsung Galaxy F06 5G (Bahama Blue, 128 Gb)",Samsung,9999,15499,0.35,4.1,8388,573,Flipkart,mobiles,https://www.flipkart.com/samsung-galaxy-f06-5g-bahama-blue-128-gb/p/itm9acd4c5748761?pid=MOBH9AS4DSSQECZM&lid=LSTMOBH9AS4DSSQECZMNC3LC0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_31&otracker=search&fm=organic&iid=abf90267-d3d7-4fc5-8592-1a0a1ab6f784.MOBH9AS4DSSQECZM.SEARCH&ppt=sp&ppn=sp&ssid=qcad5wpssg0000001756305265452&qH=eb4af0bf07c16429,27-08-2025,128
"Vivo T4 Lite 5G Charger In The Box (Titanium Gold, 128 Gb)",Vivo,9999,13999,0.28,4.4,11706,352,Flipkart,mobiles,https://www.flipkart.com/vivo-t4-lite-5g-charger-box-titanium-gold-128-gb/p/itm9886d6e522c4b?pid=MOBHDY9F2NKVDSYE&lid=LSTMOBHDY9F2NKVDSYENNGQ9C&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_2_32&otracker=search&fm=organic&iid=abf90267-d3d7-4fc5-8592-1a0a1ab6f784.MOBHDY9F2NKVDSYE.SEARCH&ppt=sp&ppn=sp&ssid=qcad5wpssg0000001756305265452&qH=eb4af0bf07c16429,27-08-2025,128
Samsung Guru 1200,Samsung,594,1399,0.57,3.1,6661,464,Flipkart,mobiles,https://www.flipkart.com/samsung-guru-1200/p/itm1f40713c7512e?pid=MOBHD2VYZBPRKAAG&lid=LSTMOBHD2VYZBPRKAAGLP7PPV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_33&otracker=search&fm=organic&iid=abf90267-d3d7-4fc5-8592-1a0a1ab6f784.MOBHD2VYZBPRKAAG.SEARCH&ppt=sp&ppn=sp&ssid=qcad5wpssg0000001756305265452&qH=eb4af0bf07c16429,27-08-2025,
"Poco M6 Plus 5G (Graphite Black, 128 Gb)",Poco,9999,15999,0.37,4.2,64531,3782,Flipkart,mobiles,https://www.flipkart.com/poco-m6-plus-5g-graphite-black-128-gb/p/itm82a1353906425?pid=MOBH2M2DN8ZFH7XK&lid=LSTMOBH2M2DN8ZFH7XKSXYCSZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_34&otracker=search&fm=organic&iid=abf90267-d3d7-4fc5-8592-1a0a1ab6f784.MOBH2M2DN8ZFH7XK.SEARCH&ppt=sp&ppn=sp&ssid=qcad5wpssg0000001756305265452&qH=eb4af0bf07c16429,27-08-2025,128
"Oppo F27 Pro+ (Midnight Navy, 128 Gb)",Oppo,15999,32999,0.51,4.4,10234,403,Flipkart,mobiles,https://www.flipkart.com/oppo-f27-pro-midnight-navy-128-gb/p/itm5235c3c836cc9?pid=MOBHF3DJM6Y8N4BA&lid=LSTMOBHF3DJM6Y8N4BADOQW8U&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_35&otracker=search&fm=organic&iid=abf90267-d3d7-4fc5-8592-1a0a1ab6f784.MOBHF3DJM6Y8N4BA.SEARCH&ppt=sp&ppn=sp&ssid=qcad5wpssg0000001756305265452&qH=eb4af0bf07c16429,27-08-2025,128
"Motorola G45 5G (Brilliant Blue, 128 Gb)",Motorola,11999,14999,0.2,4.3,204167,10433,Flipkart,mobiles,https://www.flipkart.com/motorola-g45-5g-brilliant-blue-128-gb/p/itmc45105311348e?pid=MOBH3YKQT2HEAPAM&lid=LSTMOBH3YKQT2HEAPAMTX4TTX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_36&otracker=search&fm=organic&iid=abf90267-d3d7-4fc5-8592-1a0a1ab6f784.MOBH3YKQT2HEAPAM.SEARCH&ppt=sp&ppn=sp&ssid=qcad5wpssg0000001756305265452&qH=eb4af0bf07c16429,27-08-2025,128
"Poco C75 5G (Silver Stardust, 64 Gb)",Poco,7699,10999,0.3,4.3,93979,4443,Flipkart,mobiles,https://www.flipkart.com/poco-c75-5g-silver-stardust-64-gb/p/itm8e3f17ac2e724?pid=MOBH74433ZER9U4P&lid=LSTMOBH74433ZER9U4PIUMZCQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_37&otracker=search&fm=organic&iid=abf90267-d3d7-4fc5-8592-1a0a1ab6f784.MOBH74433ZER9U4P.SEARCH&ppt=sp&ppn=sp&ssid=qcad5wpssg0000001756305265452&qH=eb4af0bf07c16429,27-08-2025,64
"Vivo T4 5G (Phantom Grey, 256 Gb)",Vivo,23999,27999,0.14,4.5,47234,2247,Flipkart,mobiles,https://www.flipkart.com/vivo-t4-5g-phantom-grey-256-gb/p/itmc2634fd4daeb9?pid=MOBHATXZGEAN2FWT&lid=LSTMOBHATXZGEAN2FWTXTUH1P&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_38&otracker=search&fm=organic&iid=abf90267-d3d7-4fc5-8592-1a0a1ab6f784.MOBHATXZGEAN2FWT.SEARCH&ppt=sp&ppn=sp&ssid=qcad5wpssg0000001756305265452&qH=eb4af0bf07c16429,27-08-2025,256
"Oppo F27 Pro+ (Midnight Navy, 256 Gb)",Oppo,17999,34999,0.48,4.4,10234,403,Flipkart,mobiles,https://www.flipkart.com/oppo-f27-pro-midnight-navy-256-gb/p/itm5235c3c836cc9?pid=MOBHF3DJJHWN5VPP&lid=LSTMOBHF3DJJHWN5VPPVIIOWO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_39&otracker=search&fm=organic&iid=abf90267-d3d7-4fc5-8592-1a0a1ab6f784.MOBHF3DJJHWN5VPP.SEARCH&ppt=sp&ppn=sp&ssid=qcad5wpssg0000001756305265452&qH=eb4af0bf07c16429,27-08-2025,256
